date,Year,Month,country,confirmed
28-02-2020,2020,28-Feb-20,China,78928
28-02-2020,2020,28-Feb-20,France,57
28-02-2020,2020,28-Feb-20,Germany,48
28-02-2020,2020,28-Feb-20,India,3
28-02-2020,2020,28-Feb-20,Iran,388
28-02-2020,2020,28-Feb-20,Iraq,7
28-02-2020,2020,28-Feb-20,Italy,888
28-02-2020,2020,28-Feb-20,Spain,32
28-02-2020,2020,28-Feb-20,US,16
28-02-2020,2020,28-Feb-20,United Kingdom,20
29-02-2020,2020,29-Feb-20,Argentina,0
29-02-2020,2020,29-Feb-20,Canada,20
29-02-2020,2020,29-Feb-20,China,79356
29-02-2020,2020,29-Feb-20,France,100
29-02-2020,2020,29-Feb-20,Germany,79
29-02-2020,2020,29-Feb-20,India,3
29-02-2020,2020,29-Feb-20,Iran,593
29-02-2020,2020,29-Feb-20,Iraq,13
29-02-2020,2020,29-Feb-20,Italy,1128
29-02-2020,2020,29-Feb-20,Spain,45
29-02-2020,2020,29-Feb-20,US,24
29-02-2020,2020,29-Feb-20,United Kingdom,23
